Linux 5.14.0-570.62.1.el9_6.x86_64 (sample-server) 	04/01/26 	_x86_64_	(64 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
00:10:04        all      0.23      0.00      0.18      0.00      0.00      0.03      0.02      0.00      0.00     99.53
00:10:04          0      0.57      0.00      0.14      0.00      0.00      0.04      0.31      0.00      0.00     98.94
00:10:04          1      0.34      0.00      0.10      0.00      0.00      0.02      0.05      0.00      0.00     99.48
00:10:04          2      0.62      0.00      0.08      0.00      0.00      0.02      0.03      0.00      0.00     99.25
00:10:04          3      0.41      0.00      0.09      0.00      0.00      0.02      0.02      0.00      0.00     99.46
00:10:04          4      0.08      0.00      0.15      0.00      0.00      0.01      0.01      0.00      0.00     99.75
00:10:04          5      0.09      0.00      0.15      0.00      0.00      0.01      0.01      0.00      0.00     99.74
00:10:04          6      0.06      0.00      0.13      0.00      0.00      0.01      0.01      0.00      0.00     99.79
00:10:04          7      0.06      0.00      0.10      0.00      0.00      0.01      0.00      0.00      0.00     99.83
00:10:04          8      0.05      0.00      0.15      0.00      0.00      0.01      0.01      0.00      0.00     99.77
00:10:04          9      0.07      0.00      0.21      0.00      0.00      0.01      0.00      0.00      0.00     99.71
00:10:04         10      0.04      0.00      0.26      0.00      0.00      0.01      0.01      0.00      0.00     99.67
00:10:04         11      0.03      0.00      0.13      0.00      0.00      0.01      0.00      0.00      0.00     99.83
00:10:04         12      0.50      0.00      0.15      0.00      0.00      0.01      0.02      0.00      0.00     99.32
00:10:04         13      0.45      0.00      0.12      0.00      0.00      0.01      0.01      0.00      0.00     99.40
00:10:04         14      0.36      0.00      0.10      0.00      0.00      0.01      0.01      0.00      0.00     99.51
00:10:04         15      0.36      0.00      0.11      0.00      0.00      0.01      0.01      0.00      0.00     99.50
00:10:04         16      0.14      0.00      0.43      0.00      0.00      0.03      0.01      0.00      0.00     99.39
00:10:04         17      0.14      0.02      0.37      0.00      0.00      0.02      0.01      0.00      0.00     99.44
00:10:04         18      0.11      0.00      0.35      0.00      0.00      0.02      0.00      0.00      0.00     99.52
00:10:04         19      0.11      0.00      0.12      0.00      0.00      0.01      0.01      0.00      0.00     99.75
00:10:04         20      0.14      0.00      0.21      0.00      0.00      0.01      0.01      0.00      0.00     99.63
00:10:04         21      0.14      0.00      0.28      0.00      0.00      0.01      0.01      0.00      0.00     99.56
00:10:04         22      0.16      0.00      0.35      0.00      0.00      0.02      0.01      0.00      0.00     99.45
00:10:04         23      0.14      0.00      0.20      0.00      0.00      0.01      0.01      0.00      0.00     99.65
00:10:04         24      0.23      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.59
00:10:04         25      0.22      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.60
00:10:04         26      0.21      0.00      0.13      0.00      0.00      0.01      0.01      0.00      0.00     99.63
00:10:04         27      0.26      0.00      0.18      0.00      0.00      0.02      0.01      0.00      0.00     99.54
00:10:04         28      0.23      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.58
00:10:04         29      0.21      0.00      0.20      0.00      0.00      0.01      0.02      0.00      0.00     99.55
00:10:04         30      0.23      0.00      0.25      0.00      0.00      0.02      0.01      0.00      0.00     99.49
00:10:04         31      0.21      0.00      0.14      0.00      0.00      0.01      0.01      0.00      0.00     99.63
00:10:04         32      0.54      0.00      0.10      0.00      0.00      0.03      0.05      0.00      0.00     99.28
00:10:04         33      1.06      0.00      0.12      0.00      0.00      0.02      0.01      0.00      0.00     98.80
00:10:04         34      0.57      0.00      0.10      0.00      0.00      0.02      0.02      0.00      0.00     99.30
00:10:04         35      0.65      0.00      0.09      0.00      0.00      0.02      0.01      0.00      0.00     99.22
00:10:04         36      0.07      0.00      0.12      0.00      0.00      0.01      0.01      0.00      0.00     99.79
00:10:04         37      0.09      0.00      0.14      0.00      0.00      0.01      0.01      0.00      0.00     99.74
00:10:04         38      0.07      0.00      0.14      0.00      0.00      0.01      0.00      0.00      0.00     99.78
00:10:04         39      0.05      0.00      0.08      0.00      0.00      0.01      0.00      0.00      0.00     99.86
00:10:04         40      0.03      0.00      0.32      0.00      0.00      0.01      0.00      0.00      0.00     99.64
00:10:04         41      0.02      0.00      0.30      0.00      0.00      0.01      0.00      0.00      0.00     99.66
00:10:04         42      0.04      0.00      0.30      0.00      0.00      0.01      0.01      0.00      0.00     99.64
00:10:04         43      0.05      0.00      0.06      0.00      0.00      0.00      0.00      0.00      0.00     99.88
00:10:04         44      0.35      0.00      0.12      0.00      0.00      0.01      0.01      0.00      0.00     99.51
00:10:04         45      0.37      0.00      0.12      0.00      0.00      0.01      0.01      0.00      0.00     99.48
00:10:04         46      0.37      0.00      0.11      0.00      0.00      0.01      0.01      0.00      0.00     99.49
00:10:04         47      0.39      0.00      0.11      0.00      0.00      0.02      0.01      0.00      0.00     99.47
00:10:04         48      0.13      0.00      0.27      0.00      0.00      0.01      0.00      0.00      0.00     99.58
00:10:04         49      0.14      0.00      0.37      0.00      0.00      0.02      0.01      0.00      0.00     99.46
00:10:04         50      0.14      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.69
00:10:04         51      0.12      0.21      0.51      0.00      0.00      0.02      0.00      0.00      0.00     99.13
00:10:04         52      0.13      0.00      0.13      0.00      0.00      0.01      0.01      0.00      0.00     99.72
00:10:04         53      0.12      0.00      0.21      0.00      0.00      0.01      0.00      0.00      0.00     99.65
00:10:04         54      0.17      0.00      0.11      0.00      0.00      0.01      0.01      0.00      0.00     99.71
00:10:04         55      0.12      0.00      0.09      0.00      0.00      0.01      0.00      0.00      0.00     99.78
00:10:04         56      0.26      0.00      0.24      0.00      0.00      0.03      0.01      0.00      0.00     99.46
00:10:04         57      0.26      0.00      0.18      0.00      0.00      0.01      0.01      0.00      0.00     99.53
00:10:04         58      0.24      0.00      0.31      0.00      0.00      0.02      0.01      0.00      0.00     99.42
00:10:04         59      0.22      0.00      0.23      0.00      0.00      0.02      0.01      0.00      0.00     99.52
00:10:04         60      0.20      0.00      0.22      0.17      0.00      0.01      0.01      0.00      0.00     99.39
00:10:04         61      0.20      0.00      0.13      0.00      0.00      0.01      0.01      0.00      0.00     99.66
00:10:04         62      0.21      0.00      0.12      0.00      0.00      0.66      0.01      0.00      0.00     99.01
00:10:04         63      0.25      0.00      0.19      0.00      0.00      0.67      0.01      0.00      0.00     98.89
00:20:00        all      0.23      0.00      0.18      0.00      0.00      0.03      0.02      0.00      0.00     99.54
00:20:00          0      0.67      0.00      0.15      0.00      0.00      0.04      0.32      0.00      0.00     98.82
00:20:00          1      0.63      0.00      0.17      0.00      0.00      0.02      0.06      0.00      0.00     99.12
00:20:00          2      0.44      0.00      0.11      0.00      0.00      0.02      0.03      0.00      0.00     99.40
00:20:00          3      0.31      0.00      0.14      0.00      0.00      0.02      0.02      0.00      0.00     99.51
00:20:00          4      0.16      0.00      0.25      0.00      0.00      0.02      0.02      0.00      0.00     99.56
00:20:00          5      0.20      0.00      0.28      0.00      0.00      0.02      0.02      0.00      0.00     99.48
00:20:00          6      0.16      0.00      0.15      0.00      0.00      0.01      0.01      0.00      0.00     99.67
00:20:00          7      0.12      0.00      0.12      0.00      0.00      0.01      0.01      0.00      0.00     99.74
00:20:00          8      0.16      0.00      0.29      0.01      0.00      0.02      0.01      0.00      0.00     99.52
00:20:00          9      0.16      0.00      0.15      0.00      0.00      0.01      0.01      0.00      0.00     99.67
00:20:00         10      0.23      0.00      0.12      0.00      0.00      0.02      0.01      0.00      0.00     99.62
00:20:00         11      0.30      0.00      0.21      0.00      0.00      0.02      0.01      0.00      0.00     99.47
00:20:00         12      0.30      0.00      0.14      0.00      0.00      0.01      0.01      0.00      0.00     99.53
00:20:00         13      0.32      0.00      0.14      0.00      0.00      0.01      0.01      0.00      0.00     99.51
00:20:00         14      0.31      0.00      0.20      0.00      0.00      0.01      0.01      0.00      0.00     99.47
00:20:00         15      0.33      0.00      0.12      0.00      0.00      0.01      0.01      0.00      0.00     99.53
00:20:00         16      0.28      0.00      0.18      0.00      0.00      0.01      0.01      0.00      0.00     99.51
00:20:00         17      0.31      0.00      0.13      0.00      0.00      0.01      0.01      0.00      0.00     99.54
00:20:00         18      0.29      0.00      0.25      0.00      0.00      0.02      0.01      0.00      0.00     99.44
00:20:00         19      0.27      0.00      0.14      0.00      0.00      0.01      0.01      0.00      0.00     99.56
